alpha_j,xi_j,alpha_a,xi_a,alpha_A,xi_A,alpha_i,xi_i,alpha_e,xi_e
83.02912187039337,0.5714104443965858,79.68272540693891,0.9604988603476892,77.01726849847233,0.9822218192116713,51.73201223744405,0.18314538789346402,49.318987359287235,0.1187638930211613
82.51453275575504,0.5720261765148676,79.16785170284791,0.956093169678819,76.50252523121381,0.9801176139869124,51.288549712700494,0.20053372342316,48.80535873405168,0.13632692704608107
82.0000108358486,0.5738275223467826,78.65298985665078,0.9518967049594135,75.98779382184915,0.9782226347116183,50.89185446881687,0.21762704089731477,48.56842898011616,0.9086992885330685
81.44532453544893,0.574503008211697,78.13811219992849,0.9474212723073885,75.47301102827775,0.9754210096553105,50.54192583290475,0.2344134675735582,48.291706393028406,0.15347150917207153
80.97089584867254,0.5761748583138244,77.6232068747872,0.9424576457732792,74.95826776101924,0.9733168044305517,50.215355483331955,0.25060502637809945,48.23997040211135,0.8915741056704745
80.45637788139739,0.5780459461288943,77.10831340753977,0.9377032451886347,74.44347706218527,0.9703756954079342,50.0222834360163,0.9713445487736986,47.91146213388463,0.873572166448219
79.9418678193848,0.5800565179102739,76.59338831924204,0.932390908738751,73.92868241072001,0.9673648444021619,49.91216334794788,0.26655333314267804,47.82487692223229,0.1713019167445019
79.42733799421578,0.5817183797758789,76.07841184673757,0.9261719265078536,73.41391147504248,0.9647724452953188,49.69394107791936,0.9562700016189795,47.60640247432766,0.8565690466955214
78.91282002694062,0.5835894675909489,75.56344723212698,0.9201621702264211,72.89910496568336,0.9615523683400817,49.609001233739534,0.2830313468745521,47.42850656268141,0.1941276377785266
78.39834553860962,0.5862277172207224,75.04845099646607,0.9135944780797494,72.3843142668494,0.9586112593174643,49.43546020419656,0.9356459738005665,47.32474587407036,0.8397610530826916
77.8838196660719,0.5879593210694826,74.53345080817388,0.9069570439499228,71.86951171012157,0.9554609243453821,49.32930056484158,0.30073467546889654,47.05525069681866,0.2120569050512603
77.36933331984703,0.5903883447497915,74.01841504620012,0.8996919319717023,71.35470520076245,0.952240847390145,49.11474501910374,0.9175690391508211,47.04302405539682,0.8218023167478061
76.85486278414731,0.5930963363627199,73.50338718948892,0.8925663039597914,70.83990264403462,0.9490905124180629,49.09629690309738,0.3169030455032201,46.78474753271156,0.8047839494585008
76.34040410634147,0.596013553925113,72.98830004330841,0.8843945462005572,70.32506451362521,0.9453124995975868,48.94220752500046,0.8999924022185236,46.75219803567617,0.23046615732286369
75.82593357064175,0.5987215455380415,72.47322870765306,0.8765017563739428,69.8102540516348,0.9420226806591948,48.88677404514587,0.33463830006513196,46.52642173388959,0.7868961321125314
75.31148279809848,0.6017782470667444,71.95813760884127,0.8682602566315537,69.29541987385667,0.9383144098218735,48.70721252761382,0.8810247611394144,46.519325970202964,0.24895647044969071
74.79704783608035,0.6051139165280669,71.44298722056018,0.8589726271418414,68.78059360134112,0.934745622950862,48.700651554940336,0.3525211897974303,46.30967919726059,0.264505313839697
74.28260496879966,0.6083101020230796,70.92784473754166,0.8498244816184388,68.26570013409369,0.9299912223662175,48.514648631831236,0.3725137745201639,46.26793941086865,0.7662465322336283
73.76817000678153,0.6116457714844021,70.4126548229477,0.8398394322971776,67.75079876158368,0.9250973378152632,48.4955178964016,0.8604402830568728,46.09747519349489,0.29843152519000027
73.25373109213211,0.6149116989625697,69.89746095572244,0.8297846409927614,67.23588553117982,0.919994227314844,48.340379588776855,0.393174727234486,46.170046568096296,0.27719826693763583
72.73931589327042,0.6185960783396667,69.38221570429045,0.8188232039073318,66.72094858498822,0.9144726649154957,48.30733015634854,0.8418829865907418,46.032979196637335,0.7478926206062821
72.22489278914615,0.6221409737504537,68.86692302128301,0.8070248630240434,66.20601559142793,0.9090208444993022,48.20519046744725,0.4154810985429396,45.7863937997117,0.318049392020922
71.71054478501634,0.6270109668411838,68.35158685933143,0.7944593603260514,65.69105888207989,0.9031505721841794,48.11890328210262,0.81910630014374,45.82141065436317,0.7295329117863814
71.19612168089208,0.6305558622519709,67.83618350264796,0.7807082439144262,65.1761219358883,0.8976290097848311,48.073685180178025,0.433996866355,45.6332446537822,0.7113591962276022
70.68175786623712,0.6351468874100814,67.60527868811722,0.008431899997625836,64.66117313180285,0.891898221436018,47.98123807516149,0.45377447185384,45.49530408019473,0.34116867644457827
70.16744543578889,0.6406445583492054,67.32078409859578,0.7670268694859558,64.14622828034868,0.8862371750703599,47.95386445656851,0.7962598863529585,45.46852105059323,0.6940747055934231
69.65310928955293,0.6457237773894001,67.0911520313395,0.017207444145029616,63.63128342889452,0.8805761287047017,47.888767677853444,0.47314109780908864,45.332620364135856,0.3598768609502512
69.138773143317,0.6508029964295947,66.805321452443,0.7522296233270072,63.116303003758766,0.8742874044906496,47.82158991405394,0.7736866491579921,45.32719998909746,0.6769762082203654
68.62450023918163,0.6569980872002676,66.57710837981878,0.027447569938686245,62.60133048388559,0.8681381642429072,47.79639821380863,0.4942886351198995,45.156716978626946,0.3811820957013822
68.11019571399598,0.6626352421057015,66.28981137471477,0.7365954733702,62.086334248224695,0.8615704720962355,47.71747306042532,0.7526535649916131,45.185762983750585,0.6578319460080977
67.59591095196677,0.6686211069269097,66.06314773355511,0.03915227737859528,61.57133010730122,0.8548632959832541,47.704279374820494,0.5198583123197529,44.96049495082122,0.397752335405283
67.08162618993754,0.674606971748118,65.79765067578893,0.720209287001081,61.05631806111518,0.8480166359039628,47.54384659993314,0.6470729121913499,45.05993491935654,0.6389395396056949
66.56733747527704,0.6805230945861713,65.54931357149263,0.053088728279460984,60.54126648861626,0.8404725559931226,47.622743310840484,0.7321551752185049,44.984930117438175,0.41615842176561924
66.05306457114168,0.6867181853568443,65.30542361030157,0.7026520995243235,60.02622282137991,0.8330679600485923,47.61177574717656,0.5386386074594779,44.973375588028105,0.625024023011276
65.5388960541164,0.6947551286921696,64.94222497947322,0.07255798461978036,59.51113567519941,0.8248962022893582,47.566206190453336,0.5600668025050672,44.90174402752736,0.5993414937963628
65.02457805234027,0.7001544966455133,64.86015317867187,0.6881409224406057,58.99602481323119,0.8163059926311947,47.53681152560607,0.7017964372494314,44.71702373327093,0.43559592530126545
64.51035653241166,0.7072562331971999,64.45199039777359,0.0901570666420386,58.480886282843954,0.807227589090947,47.511732870615575,0.5894885853308425,44.83035160121947,0.5778783545623205
